Index,NA,NB ,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a/b,c,MAv,LAC,LBC,LAv,nop (100K),nop (150K),nop (200K),nop (250K),nop (300K),nop (350K),nop (400K),nop (450K),nop (500K),nop (550K),nop (600K),nop (650K),100 K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
61,3,2,6,11,5S2P2,4S2P3,4S2P4,5,4,4,50,33,34,145,115,103,139,119,120,1.96,2.18,2.55,2.32 ,0.26 ,3.978,59.271,89.07,2.930 ,2.758 ,2.844 ,0.13 ,0.14 ,0.16 ,-0.24 ,-0.26 ,-0.29 ,-0.30 ,-0.31 ,-0.32 ,-0.33 ,0.35 ,0.39 ,0.05 ,0.14 ,0.21 ,0.37 ,0.46 ,0.53 ,0.59 ,0.63 ,0.67 ,0.69 ,0.72 ,0.75 
62,3,2,6,11,5S2P2,4S2P3,5S2P4,5,4,5,50,33,52,145,115,140,139,119,138,1.96,2.18,2.12,2.09 ,0.08 ,4.23,62.723,115.6,3.108 ,2.935 ,3.022 ,-2.13 ,-1.68 ,-1.05 ,-0.67 ,-0.56 ,-0.49 ,-0.45 ,-0.43 ,-0.43 ,-0.43 ,-0.46 ,-0.49 ,0.04 ,0.10 ,0.22 ,0.37 ,0.51 ,0.61 ,0.69 ,0.74 ,0.76 ,0.78 ,0.79 ,0.80 
63,3,2,6,11,5S2P2,6S2P3,4S2P4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.29 ,0.28 ,4.16,59.855,113.44,2.962 ,2.968 ,2.965 ,3.68 ,3.25 ,2.94 ,2.61 ,2.05 ,0.54 ,0.56 ,0.57 ,0.57 ,0.56 ,0.57 ,0.58 ,0.02 ,0.04 ,0.09 ,0.14 ,0.21 ,0.30 ,0.38 ,0.46 ,0.52 ,0.58 ,0.63 ,0.66 
64,3,2,6,11,5S2P2,6S2P3,5S2P4,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.06 ,0.07 ,4.388,64.092,139.97,3.131 ,3.156 ,3.143 ,-2.48 ,-2.37 ,-2.21 ,0.96 ,-0.51 ,-0.53 ,-0.52 ,-0.50 ,-0.49 ,-0.47 ,-0.46 ,-0.45 ,0.02 ,0.05 ,0.10 ,0.17 ,0.26 ,0.36 ,0.44 ,0.52 ,0.58 ,0.63 ,0.67 ,0.70 
65,3,2,6,11,5S2P2,5S2P3,4S2P4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.30 ,0.28 ,4.106,59.778,97.58,2.955 ,2.903 ,2.929 ,4.12 ,4.01 ,3.88 ,0.20 ,0.24 ,0.28 ,0.31 ,0.34 ,0.36 ,0.39 ,0.44 ,0.52 ,0.02 ,0.04 ,0.08 ,0.14 ,0.22 ,0.31 ,0.39 ,0.47 ,0.53 ,0.59 ,0.63 ,0.65 
66,3,2,6,11,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.06 ,0.07 ,4.343,63.743,124.11,3.124 ,3.087 ,3.106 ,-0.34 ,-0.40 ,-0.47 ,-0.53 ,-0.57 ,-0.58 ,-0.59 ,-0.57 ,-0.56 ,-0.55 ,-0.54 ,-0.55 ,0.02 ,0.07 ,0.16 ,0.26 ,0.36 ,0.45 ,0.53 ,0.60 ,0.65 ,0.69 ,0.72 ,0.75 
67,3,2,6,11,6S2P2,4S2P3,5S2P4,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.06 ,0.12 ,4.275,63.71,139.73,3.181 ,2.941 ,3.061 ,-1.76 ,-1.39 ,-1.01 ,-0.83 ,-0.72 ,-0.64 ,-0.57 ,-0.53 ,-0.53 ,-0.52 ,-0.53 ,-0.53 ,0.03 ,0.08 ,0.17 ,0.27 ,0.37 ,0.46 ,0.53 ,0.59 ,0.62 ,0.65 ,0.68 ,0.70 
68,3,2,6,11,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.27 ,0.31 ,4.219,60.471,137.57,3.028 ,2.972 ,3.000 ,5.22 ,4.29 ,3.92 ,3.58 ,3.27 ,2.98 ,2.74 ,2.53 ,2.34 ,2.13 ,1.91 ,1.66 ,0.02 ,0.06 ,0.12 ,0.19 ,0.26 ,0.33 ,0.38 ,0.44 ,0.48 ,0.53 ,0.57 ,0.60 
69,3,2,6,11,6S2P2,5S2P3,4S2P4,6,5,4,82,51,34,180,145,103,146,139,120,1.87,2.05,2.55,2.27 ,0.31 ,4.172,60.309,121.71,3.023 ,2.911 ,2.967 ,5.79 ,5.68 ,5.11 ,3.13 ,2.63 ,2.48 ,2.39 ,2.26 ,2.17 ,2.10 ,1.98 ,1.85 ,0.02 ,0.06 ,0.11 ,0.18 ,0.26 ,0.33 ,0.39 ,0.44 ,0.49 ,0.52 ,0.56 ,0.59 
70,3,2,6,11,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.04 ,0.11 ,4.391,64.53,148.25,3.194 ,3.089 ,3.141 ,-1.12 ,-1.87 ,-1.47 ,-1.30 ,-1.17 ,-1.03 ,-0.90 ,-0.79 ,-0.69 ,-0.61 ,-0.56 ,-0.54 ,0.01 ,0.05 ,0.11 ,0.20 ,0.29 ,0.38 ,0.46 ,0.53 ,0.59 ,0.64 ,0.67 ,0.70 
