NA,NB,NC,NT,VA,VB,VC,RA,RB,RC,ZA,ZB,ZC,rA,rB,rC,rCA,rCB,rCC,PA,PB,PC,PAv,PSd,a_b,c,MAv,LAC,LBC,SAC,SBC,LAv,SAv,Temperature,Nop,ZT
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7857142857142866,0.0,0.0,0.08823529411764652,0.07407407407407406,0.7047308319739017,0.5330024203142306,0.6923342541436462,0.3280542986425338,0.98633257403189,0.6842105263157893,0.02272727272727275,0.6605922551252846,0.3624454148471614,0.9090909090909091,1.0,0.84
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.7857142857142866,0.0,0.0,0.08823529411764652,0.07407407407407406,0.7047308319739017,0.5330024203142306,0.6923342541436462,0.3280542986425338,0.98633257403189,0.6842105263157893,0.02272727272727275,0.6605922551252846,0.3624454148471614,1.0,1.0,0.85
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.0,1.0,0.02
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.09090909090909091,1.0,0.06
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.18181818181818182,1.0,0.13
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.2727272727272727,1.0,0.22
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.36363636363636365,1.0,0.31
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.45454545454545453,1.0,0.4
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.5454545454545454,1.0,0.47
0.0,0.0,0.0,0.0,0.625,1.0,1.0,0.6666666666666666,1.0,1.0,0.5294117647058824,1.0,1.0,0.5,1.0,1.0,0.7999999999999999,1.0,1.0,0.6428571428571433,0.0,0.0,0.08823529411764652,0.07407407407407406,0.9086460032626456,0.5443450793781023,0.8412753222836097,0.8416289592760186,0.990888382687927,0.28070175438596473,0.06818181818181825,0.9202733485193618,0.12882096069868984,0.6363636363636364,1.0,0.54
