   Label       Predict
0.1080000     0.0028766
0.6560000     0.6978837
0.0560000     -0.0581023
0.4470000     0.4337728
0.1280000     0.0652870
0.7080000     0.7793751
0.3830000     0.3871520
0.0300000     -0.0993482
0.1730000     0.1341475
0.6270000     0.6587538
0.6030000     0.6374401
0.5760000     0.5859423
0.4820000     0.4857102
0.0200000     -0.1239401
0.7920000     0.8827519
0.8170000     0.9151435
0.7770000     0.8577561
0.2110000     0.1685031
0.3040000     0.2820537
0.4120000     0.4369207
0.1880000     0.1231837
0.2580000     0.2312712
0.1530000     0.1028909
0.8510000     0.9444048
0.6920000     0.7523302
0.4570000     0.4630094
0.7110000     0.7720217
0.5580000     0.5852925
0.6950000     0.7489579
0.1360000     0.0724149
0.1490000     0.0689447
0.0200000     -0.1244222
0.6510000     0.6956497
0.5400000     0.5700019
0.5650000     0.5801217
0.5210000     0.5288222
0.6010000     0.6313444
0.6760000     0.7170753
0.5910000     0.6235313
0.5890000     0.6214870
0.5710000     0.6152029
0.5890000     0.6156722
0.4950000     0.4931954
0.7660000     0.8453743
0.0500000     -0.0485806
0.1390000     0.0532154
0.0900000     0.0026405
0.7390000     0.8225863
0.1040000     0.0240272
0.2230000     0.1691957
0.6220000     0.6623055
0.0300000     -0.1029658
0.0300000     -0.1026945
0.7600000     0.8237853
0.7850000     0.8662550
0.0200000     -0.1156316
0.2790000     0.2414940
0.7370000     0.7973497
0.6310000     0.6705253
0.2720000     0.2445840
0.7650000     0.8398390
0.5560000     0.5654215
0.4150000     0.3965612
0.2580000     0.2338941
0.5360000     0.5380515
0.0410000     -0.0843882
0.0830000     -0.0201927
0.5930000     0.6384077
0.2120000     0.1570436
0.6120000     0.6431421
0.7790000     0.8600330
0.4750000     0.4852976
0.5160000     0.5397224
0.4880000     0.4936616
0.6860000     0.7205852
0.0990000     0.0100168
0.1500000     0.0696670
0.6640000     0.7171175
0.4010000     0.3701375
0.7220000     0.7912023
0.4610000     0.4567086
0.0100000     -0.1285226
0.0840000     -0.0219288
0.4890000     0.5021240
0.0500000     -0.0716733
0.7030000     0.7790352
0.7280000     0.7885903
0.5040000     0.5037009
0.1520000     0.0868806
0.1480000     0.0924532
0.3940000     0.3811298
0.7210000     0.7872229
0.2200000     0.1537176
0.2260000     0.1627108
0.4680000     0.4633462
0.1180000     0.0323212
0.4450000     0.4738530
0.6290000     0.6560066
0.6150000     0.6539381
0.7220000     0.7823429
0.5120000     0.5178664
0.0300000     -0.1064430
0.5830000     0.6130776
0.4270000     0.4285449
0.1670000     0.0846724
0.0200000     -0.1268003
0.7290000     0.7961648
0.4680000     0.4837292
0.0100000     -0.1308765
0.7590000     0.8398498
0.7470000     0.8198574
0.5750000     0.6108485
0.6110000     0.6328158
0.1970000     0.1357651
0.2750000     0.2382306
0.6630000     0.7114234
0.7740000     0.8497499
0.4890000     0.5103596
0.1120000     0.0214331
0.6440000     0.6798393
0.5730000     0.6064731
0.6100000     0.6566203
0.4790000     0.4793361
0.5240000     0.5384042
0.0580000     -0.0425465
0.5280000     0.5415855
0.4600000     0.4537159
0.1130000     0.0210604
0.2950000     0.2549838
0.3300000     0.2950529
0.4260000     0.4301486
0.3350000     0.3411545
0.5710000     0.6022977
0.6890000     0.7450263
0.2620000     0.2423239
0.2910000     0.2808837
0.5620000     0.5748607
0.5980000     0.6202425
0.6120000     0.6537056
0.8400000     0.9330664
0.7360000     0.7992650
0.7310000     0.7909380
0.0730000     -0.0415750
0.2390000     0.2077051
0.4830000     0.4924111
0.5460000     0.5663981
0.7390000     0.8100505
0.4740000     0.4970679
0.0100000     -0.1357558
0.0710000     -0.0493412
0.7290000     0.7845546
0.7730000     0.8535507
0.3740000     0.3879624
0.4600000     0.4819398
0.3540000     0.3468221
0.6740000     0.7221811
0.1290000     0.0691924
0.1650000     0.1158004
0.0870000     -0.0197159
0.6350000     0.6891977
0.0600000     -0.0412109
0.5160000     0.5362331
0.5930000     0.6180642
0.0920000     -0.0125258
0.6190000     0.6574944
0.4590000     0.4795256
0.5830000     0.6125328
0.3250000     0.3139971
0.7140000     0.7786547
0.7340000     0.7987752
0.7920000     0.8827031
0.4100000     0.4100143
0.0200000     -0.1257340
0.4440000     0.4546543
0.5330000     0.5650141
0.6240000     0.6642167
0.2120000     0.1753662
0.1100000     0.0140890
0.0940000     -0.0017681
0.7590000     0.8280922
0.7120000     0.7751327
0.0200000     -0.1220153
0.1520000     0.0985776
0.4660000     0.4861118
0.5310000     0.5476235
0.5460000     0.5564077
0.3370000     0.3050150
0.2000000     0.1631662
0.4310000     0.4234359
0.7080000     0.7696043
0.2670000     0.2291347
0.3650000     0.3685000
0.3590000     0.3609535
0.6700000     0.7139473
0.0300000     -0.1218998
0.4850000     0.4932269
0.1940000     0.1485830
0.7070000     0.7613475
0.0970000     0.0188763
0.6540000     0.6980807
0.5840000     0.6102979
0.7340000     0.8093646
0.6970000     0.7477127
0.5150000     0.5265939
0.7560000     0.8325938
0.2310000     0.1976279
0.2070000     0.1352275
0.5790000     0.6108129
0.7990000     0.8855062
0.6560000     0.6893854
0.0730000     -0.0292751
0.0400000     -0.0894290
0.3770000     0.3548442
0.0640000     -0.0519621
0.7760000     0.8539040
0.6870000     0.7387239
0.3270000     0.3294837
0.5360000     0.5542958
0.3800000     0.3910066
0.7670000     0.8350165
0.7680000     0.8331675
0.6760000     0.7311733
0.6850000     0.7452849
0.5560000     0.5733024
0.7010000     0.7683520
0.1330000     0.0530991
0.6320000     0.6742194
0.6580000     0.7034780
0.5830000     0.6089267
0.3400000     0.3296210
0.5500000     0.5578066
0.4970000     0.5253330
0.0480000     -0.0819249
