,NA_atom_unit,NB_atom_unit,NC_atom_unit,N_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA_pm,rB_pm,rC_pm,rCA_pm,rCB_pm,rCC_pm,XA,XB,XC,Ave_X,Std_Dev_Pauling_Electronegativity,a_Å_uint,c_Å_unit,Ave_Mass_g_mol,A_C_Å,B_C_Å,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_Bondlength_Å,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1_00E+18,1E18_Pockets,1_00E+19,1_00E+19,1E19_Pockets,1_00E+20,1_00E+20,1E20_Pockets,1_00E+21,1_00E+21,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,1_00E+18,1_00E+18,#NAME?,1_00E+19,1_00E+19,#NAME?_1,1_00E+20,1_00E+20,#NAME?_2,1_00E+21,1_00E+21,CB_dos_at_0_1_states_atom,Time_fs,K_min,K_diff,Type,Temperature,Kpa,N_optimal,ZT
10,1,2,4,7,5,9,4,5,6,4,50,83,34,145,160,103,139,148,120,1.96,2.02,2.55,2.31,0.27,4.14,39.299,121.79,2.9539999999999997,2.965,1.72,1.7,2.96,1.7080000000000002,0.76,0.62,1.42,31.69,0.17,1.28,1,-0.048,0.223,0,-0.114,0.3,1,-0.195,0.49700000000000005,1,-0.32299999999999995,0.825,0.003,0.15,1.56,1,-0.048,0.223,1,-0.114,0.3,1,-0.195,0.49700000000000005,2,-0.32299999999999995,0.825,0.002,10,0.45,0.28,0,100,3.2,5.79,0.01
11,1,2,4,7,5,9,7,5,6,5,50,83,52,145,160,140,139,148,138,1.96,2.02,2.12,2.07,0.06,4.361000000000001,42.315,149.58,3.1239999999999997,3.1519999999999997,1.67,1.56,3.138,1.6119999999999999,0.89,0.68,0.74,37.01,0.14,2.07,1,-0.078,0.444,0,-0.107,0.505,0,-0.18899999999999997,0.578,0,-0.33299999999999996,0.7190000000000001,0.016,0.16,2.09,1,-0.078,0.444,5,-0.107,0.505,6,-0.18899999999999997,0.578,11,-0.33299999999999996,0.7190000000000001,0.003,10,0.38,0.24,1,100,2.45,-0.46,0.02
12,1,2,4,7,5,6,4,5,5,4,50,51,34,145,145,103,139,139,120,1.96,2.05,2.55,2.32,0.26,4.065,39.156,96.86,2.947,2.8960000000000004,1.71,1.78,2.9219999999999997,1.749,0.48,0.97,1.38,40.11,0.25,1.29,1,-0.027999999999999997,0.042,1,-0.07400000000000001,0.11199999999999999,1,-0.177,0.302,2,-0.34299999999999997,0.586,0.005,0.2,7.15,1,-0.027999999999999997,0.042,1,-0.07400000000000001,0.11199999999999999,1,-0.177,0.302,2,-0.34299999999999997,0.586,0.001,10,0.5,0.32,0,100,2.62,-1.97,0.01
13,1,2,4,7,5,6,7,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.1189999999999998,3.077,1.66,1.64,3.0980000000000003,1.649,0.57,1.0,0.75,33.16,0.08,1.05,1,-0.07400000000000001,0.184,0,-0.16399999999999998,0.2315,1,-0.275,0.299,1,-0.474,0.42,0.001,0.1,1.27,1,-0.07400000000000001,0.184,1,-0.16399999999999998,0.2315,4,-0.275,0.299,6,-0.474,0.42,0.004,10,0.43,0.27,1,100,2.68,-3.39,0.02
14,1,2,4,7,8,3,4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.9160000000000004,38.74,96.13,3.0069999999999997,2.733,1.58,1.91,2.87,1.742,0.9,0.74,1.3,51.49,0.43,1.81,3,-0.038,0.365,0,-0.063,0.441,0,-0.102,0.653,0,-0.20199999999999999,0.941,0.142,0.2,3.62,1,-0.038,0.365,1,-0.063,0.441,2,-0.102,0.653,4,-0.20199999999999999,0.941,0.001,10,0.53,0.34,0,100,1.85,0.82,0.03
15,1,2,4,7,8,3,7,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.1530000000000005,41.265,123.92,3.1910000000000003,2.91,1.51,1.72,3.05,1.618,0.95,0.74,0.71,43.09,0.1,1.38,4,-0.04,0.45799999999999996,0,-0.057999999999999996,0.541,0,-0.10400000000000001,0.6,0,-0.273,0.7140000000000001,0.086,0.14,2.62,1,-0.04,0.45799999999999996,1,-0.057999999999999996,0.541,3,-0.10400000000000001,0.6,6,-0.273,0.7140000000000001,0.002,10,0.45,0.28,1,100,2.46,-1.33,0.03
16,1,2,4,7,8,9,4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.3,0.29,4.171,39.471,134.43,3.0210000000000004,2.964,1.59,1.72,2.9930000000000003,1.653,0.9,0.83,1.47,43.52,0.2,1.41,1,-0.045,0.326,0,-0.106,0.401,0,-0.244,0.602,1,-0.424,0.951,0.004,0.16,2.2,1,-0.045,0.326,1,-0.106,0.401,1,-0.244,0.602,2,-0.424,0.951,0.002,10,0.44,0.27,0,100,3.52,2.42,0.02
17,1,2,4,7,8,9,7,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06,0.09,4.382,42.674,162.22,3.1919999999999997,3.148,1.54,1.58,3.17,1.5619999999999998,1.03,0.78,0.77,38.49,0.2,2.87,1,-0.067,0.569,0,-0.122,0.636,0,-0.217,0.732,1,-0.42100000000000004,0.873,0.004,0.16,2.29,1,-0.067,0.569,4,-0.122,0.636,6,-0.217,0.732,9,-0.42100000000000004,0.873,0.003,10,0.36,0.23,1,100,2.5,-0.68,0.02
18,1,2,4,7,8,6,7,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06,0.08,4.317,42.231,137.3,3.194,3.075,1.51,1.66,3.135,1.587,0.7,0.98,0.82,36.76,0.15,1.77,1,-0.055,0.29,0,-0.128,0.366,0,-0.24100000000000002,0.462,1,-0.45899999999999996,0.5920000000000001,0.002,0.15,1.79,1,-0.055,0.29,1,-0.128,0.366,5,-0.24100000000000002,0.462,6,-0.45899999999999996,0.5920000000000001,0.002,10,0.4,0.25,1,100,2.35,-3.87,0.02
19,1,4,7,12,2,3,4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38,0.2,3.804,21.898000000000003,77.08,2.752,2.717,2.05,1.97,2.734,2.011,0.72,0.75,1.37,46.16,0.6,1.06,4,-0.054000000000000006,0.341,0,-0.064,0.40700000000000003,0,-0.094,0.556,0,-0.18899999999999997,0.7909999999999999,0.29,0.267,2.612,2,-0.054000000000000006,0.341,2,-0.064,0.40700000000000003,2,-0.094,0.556,4,-0.18899999999999997,0.7909999999999999,0.004,12,0.58,0.36,0,100,2.18,0.33,0.03
