Num,ABC-Compound,NA (atom/unit),NB  (atom/unit),NC (atom/unit),N( atom/unit),Valence_Con_A,Valence_Con_B,Valence_Con_C,Row_A,Row_B,Row_C,PA,PB,PC,rA(pm),rB(pm),rC(pm),rCA(pm),rCB(pm),rCC(pm),XA,XB,XC,Ave_X,Std.Dev.Pauling Electronegativity,a (Å/uint),c (Å/unit),Ave_Mass (g/mol),A-C (Å),B-C (Å),ABS(IpCOHP)-AC (eV),ABS(IpCOHP)-BC (eV),Ave_Bondlength (Å),Ave_IpCOHP (eV),HSE_Band Gap (eV),LVB-window,LCB-Window,B (Gpa),Average-mh*,Anisotropy-mh*,VB-Extrema-0.1eV,1.00E+18,1E18-Pockets,1.00E+19,1E19-Pockets,1.00E+20,1E20-Pockets,1.00E+21,VB-dos-at-0.1 (states/atom),Average-me*,Anisotropy-me*,CB-Extrema-0.1eV,-1.00E+18,#NAME?,-1.00E+19,#NAME?,-1.00E+20,#NAME?,-1.00E+21,CB-dos-at-0.1  (states/atom),Time (fs),K_cal 100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,K_min,K_diff,N_optimal (1e20 cm-3)_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K,Type,ZT_max_100K,150 K,200 K,250 K,300 K,350 K,400 K,450 K,500 K,550 K,600 K,650 K
14,SnSbTe,1,2,4,7,5S2P2,5S2P3,5S2P4,5,5,5,50,51,52,145,145,140,139,139,138,1.96,2.05,2.12,2.08,0.06,4.29,41.893,124.66,3.119,3.077,1.66,1.64,3.098,1.649,0.57,1,0.75,33.16,0.08,1.05,1,-0.074,0,-0.164,1,-0.275,1,-0.474,0.001,0.1,1.27,1,0.184,1,0.2315,4,0.299,6,0.42,0.004,10,2.68,1.79,1.35,1.08,0.9,0.77,0.68,0.6,0.54,0.49,0.45,0.42,0.43,0.27,-3.39,-2.48,-1.63,-1.34,-1.11,-0.91,-0.77,-0.67,-0.59,-0.53,-0.49,-0.48,N,0.02,0.07,0.154,0.253,0.353,0.445,0.523,0.591,0.646,0.692,0.729,0.756
15,PbAsSe,1,2,4,7,6S2P2,4S2P3,4S2P4,6,4,4,82,33,34,180,115,103,146,119,120,1.87,2.18,2.55,2.35,0.25,3.916,38.74,96.13,3.007,2.733,1.58,1.91,2.87,1.742,0.9,0.74,1.3,51.49,0.43,1.81,3,-0.038,0,-0.063,0,-0.102,0,-0.202,0.142,0.2,3.62,1,0.365,1,0.441,2,0.653,4,0.941,0.001,10,1.85,1.23,0.92,0.74,0.61,0.53,0.46,0.41,0.37,0.34,0.31,0.28,0.53,0.34,0.82,0.91,0.99,0.99,0.97,0.96,0.96,1,1.03,0.81,0.81,0.81,P,0.03,0.078,0.159,0.253,0.349,0.431,0.481,0.524,0.56,0.655,0.679,0.7
16,PbAsTe,1,2,4,7,6S2P2,4S2P3,5S2P4,6,4,5,82,33,52,180,115,140,146,119,138,1.87,2.18,2.12,2.1,0.1,4.153,41.265,123.92,3.191,2.91,1.51,1.72,3.05,1.618,0.95,0.74,0.71,43.09,0.1,1.38,4,-0.04,0,-0.058,0,-0.104,0,-0.273,0.086,0.14,2.62,1,0.458,1,0.541,3,0.6,6,0.714,0.002,10,2.46,1.65,1.25,1,0.83,0.71,0.63,0.56,0.5,0.46,0.42,0.39,0.45,0.28,-1.33,-1.08,-0.91,-0.89,-0.85,-0.81,-0.75,-0.69,-0.61,-0.54,-0.51,-0.49,N,0.03,0.104,0.209,0.318,0.415,0.497,0.563,0.619,0.667,0.707,0.737,0.761
17,PbBiSe,1,2,4,7,6S2P2,6S2P3,4S2P4,6,6,4,82,83,34,180,160,103,146,148,120,1.87,2.02,2.55,2.3,0.29,4.171,39.471,134.43,3.021,2.964,1.59,1.72,2.993,1.653,0.9,0.83,1.47,43.52,0.2,1.41,1,-0.045,0,-0.106,0,-0.244,1,-0.424,0.004,0.16,2.2,1,0.326,1,0.401,1,0.602,2,0.951,0.002,10,3.52,2.34,1.75,1.4,1.17,1,0.88,0.78,0.7,0.64,0.58,0.54,0.44,0.27,2.42,2.38,2.33,2.29,2.28,2.27,2.28,2.24,2.17,2.09,1.96,1.8,P,0.02,0.048,0.095,0.15,0.208,0.267,0.323,0.378,0.428,0.475,0.519,0.558
18,PbBiTe,1,2,4,7,6S2P2,6S2P3,5S2P4,6,6,5,82,83,52,180,160,140,146,148,138,1.87,2.02,2.12,2.06,0.09,4.382,42.674,162.22,3.192,3.148,1.54,1.58,3.17,1.562,1.03,0.78,0.77,38.49,0.2,2.87,1,-0.067,0,-0.122,0,-0.217,1,-0.421,0.004,0.16,2.29,1,0.569,4,0.636,6,0.732,9,0.873,0.003,10,2.5,1.67,1.25,1,0.83,0.71,0.62,0.55,0.5,0.45,0.42,0.38,0.36,0.23,-0.68,-0.63,-0.66,-0.68,-0.68,-0.66,-0.63,-0.56,-0.5,-0.44,-0.39,-0.36,N,0.02,0.059,0.124,0.205,0.291,0.373,0.448,0.514,0.571,0.622,0.664,0.702
19,PbSbTe,1,2,4,7,6S2P2,5S2P3,5S2P4,6,5,5,82,51,52,180,145,140,146,139,138,1.87,2.05,2.12,2.06,0.08,4.317,42.231,137.3,3.194,3.075,1.51,1.66,3.135,1.587,0.7,0.98,0.82,36.76,0.15,1.77,1,-0.055,0,-0.128,0,-0.241,1,-0.459,0.002,0.15,1.79,1,0.29,1,0.366,5,0.462,6,0.592,0.002,10,2.35,1.57,1.18,0.94,0.79,0.67,0.59,0.52,0.47,0.43,0.39,0.36,0.4,0.25,-3.87,-3.46,-1.22,-1.19,-1.14,-1.05,-0.98,-0.89,-0.81,-0.7,-0.61,-0.56,N,0.02,0.068,0.136,0.232,0.324,0.408,0.478,0.539,0.59,0.634,0.672,0.701
20,GeAsSe,1,4,7,12,4S2P2,4S2P3,4S2P4,4,4,4,32,33,34,125,115,103,120,119,120,2.01,2.18,2.55,2.38,0.2,3.804,21.898,77.08,2.752,2.717,2.05,1.97,2.734,2.011,0.72,0.75,1.37,46.16,0.6,1.06,4,-0.054,0,-0.064,0,-0.094,0,-0.189,0.29,0.267,2.612,2,0.341,2,0.407,2,0.556,4,0.791,0.004,12,2.18,1.48,1.12,0.9,0.75,0.65,0.57,0.5,0.45,0.41,0.38,0.35,0.58,0.36,0.33,0.45,0.59,0.65,0.7,0.72,0.74,0.8,0.83,0.88,0.91,0.71,P,0.03,0.094,0.194,0.306,0.409,0.495,0.562,0.599,0.629,0.653,0.673,0.749
21,GeAsTe,1,4,7,12,4S2P2,4S2P3,5S2P4,4,4,5,32,33,52,125,115,140,120,119,138,2.01,2.18,2.12,2.13,0.05,4.06,23.186,105.46,2.923,2.901,1.9,1.75,2.912,1.823,0.76,1.01,1.04,48.78,0.13,1.08,6,-0.042,0,-0.063,0,-0.122,0,-0.249,0.07,0.302,1.05,6,0.261,4,0.291,6,0.344,10,0.487,0.153,12,2.88,1.94,1.46,1.17,0.98,0.84,0.73,0.65,0.59,0.53,0.49,0.45,0.48,0.3,-0.39,-0.47,-0.44,-0.37,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,-0.36,N,0.02,0.071,0.15,0.25,0.354,0.45,0.533,0.601,0.656,0.704,0.741,0.767
22,GeBiSe,1,4,7,12,4S2P2,6S2P3,4S2P4,4,6,4,32,83,34,125,160,103,120,148,120,2.01,2.02,2.55,2.33,0.26,4.097,22.581,121.77,2.816,2.957,1.86,1.74,2.886,1.801,0.75,0.71,1.41,31.21,0.25,1.36,1,-0.019,0,-0.075,0,-0.22,1,-0.349,0.006,0.208,1.856,1,0.339,2,0.416,3,0.62,3,0.953,0.003,12,2.73,1.81,1.35,1.08,0.9,0.77,0.68,0.6,0.54,0.49,0.45,0.42,0.43,0.27,2.82,-2.54,2.3,2.18,2.1,2.01,1.94,1.83,1.68,1.52,1.33,1.16,P,0.02,0.07,0.132,0.206,0.276,0.339,0.395,0.447,0.493,0.536,0.576,0.611
23,GeBiTe,1,4,7,12,4S2P2,6S2P3,5S2P4,4,6,5,32,83,52,125,160,140,120,148,138,2.01,2.02,2.12,2.08,0.05,4.303,24.405,150.14,2.971,3.144,1.76,1.59,3.057,1.675,0.89,0.95,0.79,32.86,0.27,3.44,2,-0.025,0,-0.073,0,-0.187,0,-0.343,0.012,0.239,2.147,2,0.585,9,0.638,12,0.703,16,0.826,0.03,12,2.22,1.49,1.12,0.89,0.75,0.64,0.56,0.5,0.45,0.41,0.37,0.34,0.36,0.23,-2.53,-2.67,-2.7,-2.38,-1.45,-0.65,-0.54,-0.48,-0.44,-0.41,-0.38,-0.38,N,0.03,0.09,0.174,0.267,0.361,0.466,0.555,0.627,0.684,0.729,0.766,0.79
