NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,XA,XB,XC,a_Å_uint,c_Å_unit,ABS_IpCOHP_AC_eV,ABS_IpCOHP_BC_eV,Ave_IpCOHP_eV,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,K_min,Temperature,Kpa,N_optimal,ZT
0.5,0,0.333333333,0.25,0.5,1,1,0.1875,0,0.668841762,0.028346392,0.456140351,0.318181818,0.35371179,0.337209302,0.82278481,0.589552239,0.575293351,0.037209302,0.231558691,0,0.265625,0,0.5,0.2,0.003246753,0.398907104,0.002525253,0.333333333,0.363636364,0.162790698,0.407407407,0,0.594488189,-3.91,0.02
0.5,0,0.333333333,0,1,1,0.785714286,0,0,0.616639478,0.033043443,0.684210526,0,0.355895197,0.558139535,0.544303797,0.574626866,0.768904824,0.051162791,0.203976908,0.4,0.4375,0,0,0.2,0.207792208,0.216757741,0.002164502,0,0.090909091,0.289036545,0.296296296,0,0.328740157,-0.3,0.04
0.5,0,0.333333333,0,0.5,1,0.785714286,0.1875,0,0.562805873,0.026951635,0.701754386,0.227272727,0.467248908,0,0.962025316,0.582089552,0.686114733,0.013953488,0.415651058,0,0,0.5,1,0.6,0,0.471766849,0.032106782,0.444444444,0,0.438538206,0.444444444,0,0.368110236,-0.36,0.05
0.5,0,0.333333333,0.625,0,0.5,0.642857143,1,0.934782609,0.215334421,0.011527259,0.421052632,0.75,0.548034934,0.476744186,0.784810127,0.73880597,0.679269883,0.051162791,0.007055805,0.2,0.2578125,0.5,0.5,0.4,0.363636364,0.307832423,0.077922078,0,0,0.009966777,0.666666667,0,0.173228346,0.41,0.08
0.5,0,0.333333333,0.625,0,1,0.642857143,1,0,0.629690049,0.030787217,0.315789474,0.318181818,0.277292576,0.430232558,0.848101266,0.537313433,0.651890482,0.03255814,0.008338679,0.4,0.609375,0,0,0,0.308441558,0.198542805,0.006132756,0.333333333,0.454545455,1,0.407407407,0,0.36023622,-0.79,0.07
0.5,0,0.333333333,0.625,1,0.5,0.642857143,0,0.934782609,0.567699837,0.015957665,0.298245614,0.363636364,0.294759825,0.337209302,0.556962025,1,0.823011734,0.088372093,0.02822322,0,0.375,0,0.5,0.2,0.159090909,0.216757741,0.030663781,0,0.090909091,0.006644518,0.407407407,0,0.57480315,-1.24,0.01
0.5,0,0.333333333,0.625,1,1,0.642857143,0,0,0.934747145,0.040345408,0.210526316,0.068181818,0.091703057,0.5,0.721518987,0.619402985,0.461212516,0.046511628,0.069275176,0,0.453125,0,0,0.2,0.00974026,0.234972678,0.041486291,0,0.272727273,0.046511628,0.148148148,0,0.474409449,-11.18,0.02
0.5,0,0.333333333,0.625,0.5,0.5,0.642857143,0.1875,0.934782609,0.468189233,0.014193707,0.315789474,0.545454545,0.386462882,0.034883721,0.911392405,0.947761194,0.903846154,0.274418605,0.301475305,0,0.7578125,0.5,0.5,0.2,0.064935065,0.489981785,1,0,0.090909091,0.003322259,0.592592593,0,0.519685039,1.13,0.02
0.5,0,0.333333333,0.625,0.5,1,0.642857143,0.1875,0,0.84502447,0.038335316,0.228070175,0.25,0.18558952,0.220930233,1,0.582089552,0.601694915,0.03255814,0.055163566,0,0.40625,0,0.5,0.2,0.003246753,0.234972678,0.019480519,0.111111111,0.181818182,0.129568106,0.259259259,0,0.464566929,-0.38,0.03
0.5,0,0.333333333,1,0,0.5,0,1,0.934782609,0.32137031,0.012532305,0.140350877,0.727272727,0.364628821,0.604651163,0.455696203,0.820895522,0.518904824,0.130232558,0.000641437,0.6,0.8671875,0,0,0,0.600649351,0.234972678,0.043650794,0,0.090909091,0.003322259,0.555555556,0,0.12992126,0.46,0.04
