NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,0.9090909090909091,0.0,0.73
0.0,0.0,0.0,0.625,0.0,0.5,0.11908646003262637,0.46535668868195423,0.38914027149321284,0.031890660592255655,1.0,0.0,0.75
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.0,1.0,0.04
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.09090909090909091,1.0,0.13
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.18181818181818182,1.0,0.26
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.2727272727272727,1.0,0.39
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.36363636363636365,1.0,0.5
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.45454545454545453,1.0,0.59
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.5454545454545454,1.0,0.66
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.6363636363636364,1.0,0.71
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.7272727272727273,1.0,0.75
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.8181818181818182,1.0,0.78
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,0.9090909090909091,1.0,0.79
0.0,0.0,0.0,0.625,0.0,1.0,0.5350734094616637,0.5119579931903022,0.796380090497738,0.44874715261959003,1.0,1.0,0.81
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.0,1.0,0.01
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.09090909090909091,1.0,0.04
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.18181818181818182,0.0,0.09
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.2727272727272727,0.0,0.15
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.36363636363636365,0.0,0.22
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.45454545454545453,0.0,0.3
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.5454545454545454,0.0,0.37
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.6363636363636364,0.0,0.43
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.7272727272727273,0.0,0.49
0.0,0.0,0.0,0.625,0.5,0.5,0.42577487765089816,0.4795503958649546,0.4411764705882358,0.4077448747152625,0.8181818181818182,0.0,0.54
