NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.2727272727272727,0.0,0.14
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.36363636363636365,0.0,0.21
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.45454545454545453,0.0,0.27
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.5454545454545454,0.0,0.34
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.6363636363636364,0.0,0.39
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.7272727272727273,0.0,0.45
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.8181818181818182,0.0,0.49
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,0.9090909090909091,0.0,0.53
0.0,0.0,0.0,0.25,0.5,0.5,0.3262642740619898,0.465705378020265,0.1040723981900458,0.38724373576309773,1.0,0.0,0.57
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.0,0.0,0.01
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.09090909090909091,0.0,0.05
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.18181818181818182,0.0,0.11
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.2727272727272727,0.0,0.18
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.36363636363636365,0.0,0.26
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.45454545454545453,0.0,0.34
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.5454545454545454,0.0,0.41
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.6363636363636364,0.0,0.48
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.7272727272727273,0.0,0.54
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.8181818181818182,0.0,0.59
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,0.9090909090909091,0.0,0.63
0.0,0.0,0.0,0.625,1.0,0.5,0.5481239804241433,0.4824834885342741,0.4570135746606342,0.5649202733485187,1.0,0.0,0.67
0.0,0.0,0.0,0.625,0.5,1.0,0.7928221859706366,0.5356893793329778,0.8303167420814486,0.8200455580865599,0.0,1.0,0.02
0.0,0.0,0.0,0.625,0.5,1.0,0.7928221859706366,0.5356893793329778,0.8303167420814486,0.8200455580865599,0.09090909090909091,1.0,0.07
0.0,0.0,0.0,0.625,0.5,1.0,0.7928221859706366,0.5356893793329778,0.8303167420814486,0.8200455580865599,0.18181818181818182,1.0,0.15
0.0,0.0,0.0,0.625,0.5,1.0,0.7928221859706366,0.5356893793329778,0.8303167420814486,0.8200455580865599,0.2727272727272727,1.0,0.25
0.0,0.0,0.0,0.625,0.5,1.0,0.7928221859706366,0.5356893793329778,0.8303167420814486,0.8200455580865599,0.36363636363636365,1.0,0.35
