NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,T,Nop,ZT
0,0,0,1,0.5,1,0.836867863,0.542622144,1,0.815489749,0.090909091,1,0.07
0,1,1,0.25,0,0.5,0,0.125569184,0,0,0.090909091,0,0.09
0,1,1,0.25,0,1,0.417618271,0.151987529,0.386877828,0.419134396,0.090909091,1,0.07
0,1,1,0.25,1,0.5,0.477977162,0.139578291,0.14479638,0.546697039,0.090909091,1,0.07
0,1,1,0.25,1,1,0.814029364,0.176990606,0.495475113,0.972665148,0.090909091,1,0.09
0,1,1,0.25,0.5,0.5,0.340946166,0.136275998,0.108597285,0.387243736,0.090909091,0,0.05
0,1,1,0.25,0.5,1,0.696574225,0.169996308,0.468325792,0.804100228,0.090909091,1,0.06
0,1,1,0,0,1,0.383360522,0.150777372,0.21040724,0.419134396,0.090909091,0,0.11
0,1,1,0,1,1,0.763458401,0.177975141,0.35520362,0.970387244,0.090909091,1,0.15
0,1,1,0,0.5,1,0.655791191,0.169442507,0.321266968,0.804100228,0.090909091,1,0.09
0,1,1,0.625,0,1,0.469820555,0.158756205,0.780542986,0.428246014,0.090909091,1,0.07
0,1,1,0.625,1,0.5,0.535073409,0.142819051,0.450226244,0.555808656,0.090909091,0,0.04
0,1,1,0.625,1,1,0.884176183,0.180621077,0.828054299,0.979498861,0.090909091,1,0.07
0,1,1,0.625,0.5,0.5,0.396411093,0.140255159,0.432126697,0.398633257,0.090909091,0,0.04
0,1,1,0.625,0.5,1,0.76182708,0.174488247,0.819004525,0.813211845,0.090909091,1,0.08
0,1,1,1,1,0.5,0.566068515,0.143947163,0.604072398,0.553530752,0.090909091,1,0.05
0,1,1,1,1,1,0.908646003,0.18302088,0.984162896,0.977220957,0.090909091,1,0.06
0,1,1,1,0.5,0.5,0.432300163,0.141567871,0.599547511,0.398633257,0.090909091,0,0.06
0,1,1,1,0.5,1,0.7862969,0.176600894,0.99321267,0.810933941,0.090909091,1,0.07
0.5,0,0.333333333,0.25,0,0.5,0.066884176,0,0.024886878,0.022779043,0.090909091,0,0.17
0.5,0,0.333333333,0.25,1,0.5,0.398042414,0.008163433,0.128959276,0.54214123,0.090909091,0,0.06
0.5,0,0.333333333,0.25,1,1,0.737357259,0.033228043,0.484162896,0.974943052,0.090909091,1,0.14
0.5,0,0.333333333,0.25,0.5,0.5,0.303425775,0.005394429,0.104072398,0.382687927,0.090909091,0,0.05
0.5,0,0.333333333,0.25,0.5,1,0.668841762,0.028346392,0.466063348,0.804100228,0.090909091,1,0.06
0.5,0,0.333333333,0,1,1,0.616639478,0.033043443,0.309954751,0.986332574,0.090909091,1,0.13
0.5,0,0.333333333,0,0.5,1,0.562805873,0.026951635,0.29638009,0.808656036,0.090909091,1,0.15
0.5,0,0.333333333,0.625,0,0.5,0.215334421,0.011527259,0.391402715,0.063781321,0.090909091,0,0.2
0.5,0,0.333333333,0.625,0,1,0.629690049,0.030787217,0.794117647,0.478359909,0.090909091,1,0.18
0.5,0,0.333333333,0.625,1,0.5,0.567699837,0.015957665,0.470588235,0.569476082,0.090909091,0,0.05
0.5,0,0.333333333,0.625,1,1,0.934747145,0.040345408,0.852941176,0.997722096,0.090909091,1,0.07
0.5,0,0.333333333,0.625,0.5,0.5,0.468189233,0.014193707,0.452488688,0.419134396,0.090909091,0,0.05
0.5,0,0.333333333,0.625,0.5,1,0.84502447,0.038335316,0.834841629,0.833712984,0.090909091,1,0.1
0.5,0,0.333333333,1,0,0.5,0.32137031,0.012532305,0.57239819,0.086560364,0.090909091,0,0.14
0.5,0,0.333333333,1,0,1,0.686786297,0.035894491,0.977375566,0.478359909,0.090909091,1,0.08
0.5,0,0.333333333,1,1,0.5,0.649265905,0.018501046,0.617647059,0.576309795,0.090909091,0,0.06
0.5,0,0.333333333,1,1,1,1,0.04381179,1,0.990888383,0.090909091,1,0.06
0.5,0,0.333333333,1,0.5,0,0.360522023,0.00451245,0.393665158,0.173120729,0.090909091,0,0.1
0.5,0,0.333333333,1,0.5,0.5,0.553017945,0.017229356,0.608597285,0.425968109,0.090909091,0,0.03
0.5,0,0.333333333,1,0.5,1,0.910277325,0.041206875,0.997737557,0.83143508,0.090909091,1,0.08
1,0,0.666666667,0.25,0,0.5,0.092985318,0.846638225,0.031674208,0.031890661,0.090909091,0,0.06
1,0,0.666666667,0.25,1,1,0.71451876,0.95799319,0.479638009,0.972665148,0.090909091,1,0.11
1,0,0.666666667,0.25,0.5,1,0.655791191,0.94464044,0.463800905,0.806378132,0.090909091,1,0.06
