NA,NB,NC,VA,VB,VC,a_b,c,LAC,LBC,Temperature,Nop,ZT
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.7272727272727273,1.0,0.6
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.8181818181818182,1.0,0.65
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,0.9090909090909091,1.0,0.69
0.0,0.0,0.0,0.625,1.0,1.0,0.9086460032626456,0.5443450793781023,0.8416289592760186,0.990888382687927,1.0,1.0,0.72
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.0,1.0,0.02
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.09090909090909091,1.0,0.06
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.18181818181818182,1.0,0.12
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.2727272727272727,1.0,0.21
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.36363636363636365,1.0,0.29
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.45454545454545453,1.0,0.37
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.5454545454545454,1.0,0.45
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.6363636363636364,1.0,0.51
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.7272727272727273,1.0,0.57
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.8181818181818182,1.0,0.62
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,0.9090909090909091,1.0,0.66
0.0,0.0,0.0,1.0,1.0,1.0,0.9429037520391516,0.5517085777577224,0.9954751131221724,0.9817767653758541,1.0,1.0,0.7
0.0,1.0,1.0,0.25,1.0,0.5,0.47797716150081665,0.13957829101201952,0.1447963800904988,0.5466970387243729,0.0,0.0,0.02
